id,title,type,url
D6SJWXX3,"""Raw data"" is an oxymoron",Book,http://www.worldcat.org/search?q=isbn%3A9780262518284
AU965PZX,21 recipes for mining Twitter,Book,http://www.worldcat.org/search?q=isbn%3A9781449304096
XZTKXDDQ,38 Tools For Beautiful Data Visualisations,Web Page,http://www.elisa-dbi.co.uk/blog/38-tools-for-beautiful-data-visualisations/
I7TIBTGK,A Bird's-Eye View of Pig and Scalding with hRaven,Presentation,http://www.slideshare.net/ghelmling/helmling-june27-1100amhall1?ref=http://eventifier.co/event/hadoopsummit2013/slides
2KVMUPPU,A Brief Tour of DataFu,Presentation,http://www.slideshare.net/matthewterencehayes/datafu
2GUVV3UB,A Data Scientist's Real Job: Storytelling,Blog Post,http://blogs.hbr.org/2013/03/a-data-scientists-real-job-sto/
EF5PVS5A,A Periodic Table of Visualization Methods,Web Page,http://www.visual-literacy.org/periodic_table/periodic_table.html
NUFKQ8V5,A Tour Through the Visualization Zoo,Web Page,http://hci.stanford.edu/jheer/files/zoo/
A26QM3DG,A bridging model for parallel computation,Journal Article,http://doi.acm.org/10.1145/79173.79181
3DJAK754,A comparison of approaches to large-scale data analysis,Conference Paper,http://dl.acm.org/citation.cfm?id=1559865
52T4BAGG,"A powerful Big Data trio: Spark, Parquet and Avro",Blog Post,http://zenfractal.com/2013/08/21/a-powerful-big-data-trio/
3SRKGDUR,A practitioner's guide to business analytics: using data analysis tools to improve your organization's decision making and strategy,Book,http://www.worldcat.org/search?q=isbn%3A9780071807593
U6HFBWW5,AWS Redshift: How Amazon Changed The Game,Web Page,http://blog.aggregateknowledge.com/2013/05/16/aws-redshift-how-amazon-changed-the-game/
GE77KRT3,Advanced R Development,Manuscript,https://github.com/hadley/adv-r/
9NKU4Q7P,Agile Data Science: Building Data Analytics Applications with Hadoop,Book,http://www.worldcat.org/search?q=isbn%3A1449326269
J6WD4EJP,"Agile data warehouse design: collaborative dimensional modeling, from whiteboard to star schema",Book,http://www.worldcat.org/search?q=isbn%3A9780956817204
AJRX5RAK,Akela,Software,https://github.com/mozilla-metrics/akela
24QD696H,Akka,Software,http://akka.io/
Z4F2MG3U,AlchemyAPI,Software,http://www.alchemyapi.com/
H9XSKFR3,Algorithmic trading: winning strategies and their rationale,Book,http://www.worldcat.org/search?q=isbn%3A9781118659557
AI7979BE,Algorithms,Book,http://www.worldcat.org/search?q=isbn%3A9780321573513
VQTUSSIE,Algorithms of the intelligent Web,Book,http://www.worldcat.org/search?q=isbn%3A9781933988665
E3FJB33K,All our datasets: the complete index,Web Page,http://www.theguardian.com/news/datablog/interactive/2013/jan/14/all-our-datasets-index
FS55GC5E,Amazon DynamoDB,Software,http://aws.amazon.com/dynamodb/
ZB2A5UMM,Amazon Elastic MapReduce (EMR),Software,http://aws.amazon.com/elasticmapreduce/
3IHWJAXT,Amazon Elastic MapReduce Developer Guide,Report,http://amzn.com/B007US6CIO
XW6NJKBB,Amazon Redshift,Software,http://aws.amazon.com/redshift/
WFRFUSI3,Ambrose,Software,https://github.com/twitter/ambrose
9XXFECBS,"An Introduction to the Berkeley Data Analytics Stack (BDAS) Featuring Spark, Spark Streaming, and Shark",Presentation,http://strataconf.com/strata2013/public/schedule/detail/27438
J82QTXJD,An Overview of Complex Event Processing,Web Page,http://www.packtpub.com/article/overview-complex-event-processing
Z2PHR24D,Anaconda,Software,https://store.continuum.io/cshop/anaconda/
SN9K5Z8V,Analytical modeling is both science and art,Blog Post,http://searchbusinessanalytics.techtarget.com/opinion/Analytical-modeling-is-both-science-and-art
4FFIZ7MM,Analytics Maturity Model,Presentation,http://www.slideshare.net/jdegoes/analytics-maturity-model
